district,state,elevation_m,slope_deg,rainfall_mm,soil_saturation_pct,historical_hazards_count,is_bypass,disruption_risk
SILCHAR,ASSAM,71,6,327.7,88.0,49,0,2
TAWANG,ARUNACHAL PRADESH,2669,49,166.6,49.6,106,0,2
GUWAHATI,ASSAM,61,7,402.6,100.0,5,0,2
KOHIMA,NAGALAND,1442,38,306.7,82.4,81,0,2
LUNGLEI,MIZORAM,706,38,399.7,100.0,89,0,2
NONGPOH,MEGHALAYA,291,9,77.8,26.2,7,1,0
KOHIMA,NAGALAND,881,16,182.9,58.2,24,1,1
NONGPOH,MEGHALAYA,481,22,295.2,79.4,41,0,2
NONEY,MANIPUR,355,13,84.1,23.0,16,1,0
HAFLONG,ASSAM,309,14,165.3,45.8,17,1,0
NONEY,MANIPUR,600,31,224.5,57.2,94,0,2
TAWANG,ARUNACHAL PRADESH,1363,17,122.2,38.8,40,1,1
TAWANG,ARUNACHAL PRADESH,1961,23,169.5,47.2,35,1,1
AGARTALA,TRIPURA,35,6,335.6,98.7,6,0,2
AIZAWL,MIZORAM,743,15,91.4,21.7,19,1,0
KOHIMA,NAGALAND,1421,32,210.2,52.8,79,0,2
IMPHAL,MANIPUR,799,20,264.5,72.1,42,0,2
IMPHAL,MANIPUR,469,9,43.5,18.2,16,1,0
GANGTOK,SIKKIM,827,17,193.6,61.0,40,1,1
MANGAN,SIKKIM,1222,44,228.2,55.9,118,0,2
KOHIMA,NAGALAND,983,17,216.5,60.7,31,1,1
GANGTOK,SIKKIM,1620,48,126.1,34.4,118,0,2
SILCHAR,ASSAM,20,3,177.0,47.2,12,1,0
MANGAN,SIKKIM,850,19,49.4,21.0,41,1,0
NONEY,MANIPUR,605,30,147.8,33.4,77,0,2
JOWAI,MEGHALAYA,1356,38,118.9,40.2,99,0,2
AGARTALA,TRIPURA,20,3,174.6,42.3,2,1,0
NONGPOH,MEGHALAYA,255,6,161.9,52.3,7,1,0
GANGTOK,SIKKIM,1619,47,362.4,96.6,127,0,2
LUNGLEI,MIZORAM,754,32,261.1,75.1,79,0,2
HAFLONG,ASSAM,257,13,118.0,30.6,21,1,0
AGARTALA,TRIPURA,30,4,257.4,73.9,21,0,1
ITANAGAR,ARUNACHAL PRADESH,194,18,193.3,59.0,26,1,1
HAFLONG,ASSAM,368,11,149.9,39.7,21,1,0
GUWAHATI,ASSAM,39,3,183.6,48.4,2,1,0
AIZAWL,MIZORAM,1158,37,162.1,43.5,84,0,2
NONEY,MANIPUR,423,15,56.7,11.3,28,1,0
NONEY,MANIPUR,426,14,101.9,36.3,24,1,0
KOHIMA,NAGALAND,975,13,61.7,12.2,20,1,0
SHILLONG,MEGHALAYA,1509,27,244.6,71.5,88,0,2
TAWANG,ARUNACHAL PRADESH,1982,22,105.0,26.0,28,1,1
JOWAI,MEGHALAYA,705,12,209.9,60.5,22,1,1
ITANAGAR,ARUNACHAL PRADESH,281,43,239.6,65.6,104,0,2
NONGPOH,MEGHALAYA,477,21,359.5,98.3,23,0,2
HAFLONG,ASSAM,491,28,271.4,72.3,87,0,2
NONEY,MANIPUR,671,36,282.7,80.4,89,0,2
TAWANG,ARUNACHAL PRADESH,1629,19,218.2,57.5,40,1,1
SILCHAR,ASSAM,21,10,170.0,40.5,44,0,1
NONEY,MANIPUR,670,31,80.9,21.7,75,0,2
ITANAGAR,ARUNACHAL PRADESH,162,15,194.7,47.2,26,1,0
NONEY,MANIPUR,446,16,208.1,56.6,26,1,1
NONEY,MANIPUR,634,32,100.3,32.5,72,0,2
LUNGLEI,MIZORAM,383,17,209.7,58.3,26,1,1
ITANAGAR,ARUNACHAL PRADESH,166,13,98.0,23.2,30,1,0
HAFLONG,ASSAM,545,35,419.9,100.0,62,0,2
AIZAWL,MIZORAM,1114,41,301.5,90.4,98,0,2
NONGPOH,MEGHALAYA,319,8,102.6,25.8,6,1,0
SHILLONG,MEGHALAYA,1527,30,248.5,71.6,87,0,2
GANGTOK,SIKKIM,1668,39,165.8,39.9,115,0,2
GANGTOK,SIKKIM,1679,45,98.4,27.6,118,0,2
ITANAGAR,ARUNACHAL PRADESH,220,14,207.0,56.5,32,1,1
ITANAGAR,ARUNACHAL PRADESH,283,44,351.8,100.0,114,0,2
LUNGLEI,MIZORAM,752,38,156.4,48.9,70,0,2
SHILLONG,MEGHALAYA,1123,13,207.9,54.4,17,1,1
AIZAWL,MIZORAM,802,20,139.2,36.8,22,1,0
TAWANG,ARUNACHAL PRADESH,2628,44,348.6,95.5,124,0,2
TAWANG,ARUNACHAL PRADESH,1875,17,145.6,48.4,28,1,1
ITANAGAR,ARUNACHAL PRADESH,337,42,197.3,55.6,110,0,2
GANGTOK,SIKKIM,1209,22,83.0,21.2,45,1,0
MANGAN,SIKKIM,1200,48,390.6,100.0,132,0,2
JOWAI,MEGHALAYA,1022,13,99.8,21.3,34,1,0
AGARTALA,TRIPURA,42,6,325.6,89.0,5,0,2
JOWAI,MEGHALAYA,1400,35,291.9,79.4,88,0,2
HAFLONG,ASSAM,365,15,97.0,30.4,19,1,0
ITANAGAR,ARUNACHAL PRADESH,359,35,294.6,88.6,102,0,2
NONEY,MANIPUR,655,31,295.5,88.0,94,0,2
AGARTALA,TRIPURA,13,4,190.3,45.8,5,0,0
DIMAPUR,NAGALAND,88,3,162.7,40.1,7,1,0
NONGPOH,MEGHALAYA,523,20,312.3,86.7,39,0,2
JOWAI,MEGHALAYA,1399,41,236.3,68.3,86,0,2
AGARTALA,TRIPURA,20,3,102.2,29.8,2,1,0
MANGAN,SIKKIM,737,18,193.6,47.5,47,1,1
GANGTOK,SIKKIM,1062,23,216.0,62.5,29,1,1
AIZAWL,MIZORAM,1164,44,333.2,85.3,106,0,2
ITANAGAR,ARUNACHAL PRADESH,222,15,79.4,17.1,37,1,0
AIZAWL,MIZORAM,1172,35,299.8,80.2,102,0,2
AGARTALA,TRIPURA,49,4,124.7,41.2,21,0,0
KOHIMA,NAGALAND,785,12,214.9,60.2,25,1,1
AIZAWL,MIZORAM,1124,41,180.3,56.0,107,0,2
SHILLONG,MEGHALAYA,1129,10,194.8,57.7,29,1,1
GANGTOK,SIKKIM,862,18,62.2,15.2,29,1,0
AIZAWL,MIZORAM,798,20,82.1,15.2,20,1,0
KOHIMA,NAGALAND,1412,40,389.2,100.0,86,0,2
MANGAN,SIKKIM,1177,41,183.5,50.9,111,0,2
SHILLONG,MEGHALAYA,1553,26,234.2,67.8,77,0,2
MANGAN,SIKKIM,1213,51,363.5,100.0,113,0,2
AIZAWL,MIZORAM,1139,37,231.2,60.0,96,0,2
DIMAPUR,NAGALAND,152,12,201.9,54.5,35,0,1
IMPHAL,MANIPUR,804,15,152.1,44.5,53,0,1
GUWAHATI,ASSAM,57,4,347.6,91.8,6,0,2
IMPHAL,MANIPUR,775,19,130.2,42.6,56,0,1
GUWAHATI,ASSAM,39,3,85.1,18.4,2,1,0
GUWAHATI,ASSAM,16,6,348.1,98.1,27,0,2
GUWAHATI,ASSAM,48,4,332.2,92.7,6,0,2
HAFLONG,ASSAM,313,12,121.4,29.3,22,1,0
SILCHAR,ASSAM,21,3,126.2,33.5,10,1,0
SHILLONG,MEGHALAYA,1034,12,98.0,21.6,28,1,0
JOWAI,MEGHALAYA,905,16,108.6,31.7,30,1,0
LUNGLEI,MIZORAM,452,15,60.6,19.3,27,1,0
IMPHAL,MANIPUR,481,7,121.6,32.4,11,1,0
SHILLONG,MEGHALAYA,925,13,67.5,25.5,20,1,0
HAFLONG,ASSAM,482,27,112.8,35.2,75,0,2
JOWAI,MEGHALAYA,1415,39,192.1,47.3,95,0,2
DIMAPUR,NAGALAND,103,3,148.1,38.8,9,1,0
TAWANG,ARUNACHAL PRADESH,2639,50,156.2,37.1,115,0,2
DIMAPUR,NAGALAND,140,13,354.5,100.0,22,0,2
GUWAHATI,ASSAM,27,3,205.9,54.8,4,1,0
NONGPOH,MEGHALAYA,517,24,103.7,32.7,32,0,1
GUWAHATI,ASSAM,82,4,222.7,59.3,14,0,1
DIMAPUR,NAGALAND,98,4,55.3,10.0,7,1,0
NONGPOH,MEGHALAYA,455,18,305.1,84.5,34,0,2
AGARTALA,TRIPURA,20,3,117.4,29.1,2,1,0
ITANAGAR,ARUNACHAL PRADESH,163,16,41.4,10.0,33,1,0
IMPHAL,MANIPUR,778,18,120.8,33.5,42,0,1
MANGAN,SIKKIM,1176,47,319.2,88.7,127,0,2
DIMAPUR,NAGALAND,155,4,86.4,30.7,28,0,0
KOHIMA,NAGALAND,928,16,60.7,10.0,23,1,0
KOHIMA,NAGALAND,1483,37,392.7,100.0,94,0,2
SHILLONG,MEGHALAYA,1540,33,258.1,70.0,77,0,2
LUNGLEI,MIZORAM,400,18,154.0,43.3,16,1,0
IMPHAL,MANIPUR,461,9,66.6,12.1,13,1,0
AIZAWL,MIZORAM,1114,43,338.5,96.5,86,0,2
NONGPOH,MEGHALAYA,298,8,162.6,51.3,9,1,0
KOHIMA,NAGALAND,776,12,94.5,22.6,23,1,0
SILCHAR,ASSAM,21,3,50.2,19.3,13,1,0
HAFLONG,ASSAM,550,35,210.7,59.8,78,0,2
SILCHAR,ASSAM,25,3,148.9,41.4,11,1,0
SILCHAR,ASSAM,20,3,168.6,46.9,12,1,0
NONGPOH,MEGHALAYA,476,21,258.2,73.5,34,0,2
DIMAPUR,NAGALAND,105,3,162.2,37.9,8,1,0
KOHIMA,NAGALAND,1446,31,310.6,82.8,89,0,2
JOWAI,MEGHALAYA,718,16,95.8,29.1,33,1,0
GANGTOK,SIKKIM,1686,39,270.0,77.3,114,0,2
KOHIMA,NAGALAND,1471,31,308.0,85.7,92,0,2
GUWAHATI,ASSAM,31,3,177.9,44.5,3,1,0
JOWAI,MEGHALAYA,1349,35,114.4,36.1,103,0,2
TAWANG,ARUNACHAL PRADESH,2663,49,283.1,73.1,104,0,2
NONGPOH,MEGHALAYA,501,14,203.9,60.2,33,0,1
AGARTALA,TRIPURA,20,3,83.1,30.5,2,1,0
ITANAGAR,ARUNACHAL PRADESH,327,44,414.7,100.0,113,0,2
LUNGLEI,MIZORAM,451,15,75.9,22.8,18,1,0
AIZAWL,MIZORAM,1153,39,397.7,100.0,99,0,2
TAWANG,ARUNACHAL PRADESH,2656,41,134.5,36.6,124,0,2
TAWANG,ARUNACHAL PRADESH,2675,41,357.7,100.0,107,0,2
GUWAHATI,ASSAM,28,3,219.0,58.8,2,1,0
GUWAHATI,ASSAM,40,3,182.4,44.9,3,1,0
LUNGLEI,MIZORAM,486,13,120.7,25.6,26,1,0
HAFLONG,ASSAM,504,29,266.6,77.7,66,0,2
TAWANG,ARUNACHAL PRADESH,1403,17,48.6,12.2,28,1,0
AGARTALA,TRIPURA,-11,6,262.3,75.0,17,0,1
NONEY,MANIPUR,637,36,289.0,76.1,70,0,2
MANGAN,SIKKIM,1170,49,103.0,29.0,121,0,2
TAWANG,ARUNACHAL PRADESH,2669,47,296.1,89.9,101,0,2
AIZAWL,MIZORAM,1137,35,162.0,47.5,93,0,2
SHILLONG,MEGHALAYA,813,11,155.7,48.5,20,1,0
AGARTALA,TRIPURA,20,3,179.7,49.2,2,1,0
LUNGLEI,MIZORAM,687,35,187.3,49.0,69,0,2
GANGTOK,SIKKIM,929,21,104.3,33.5,27,1,0
KOHIMA,NAGALAND,766,14,173.8,54.6,30,1,1
GANGTOK,SIKKIM,1226,18,206.4,57.6,34,1,1
HAFLONG,ASSAM,266,14,138.2,35.5,26,1,0
HAFLONG,ASSAM,340,12,116.7,35.5,23,1,0
DIMAPUR,NAGALAND,74,4,219.7,57.4,6,1,0
SILCHAR,ASSAM,46,5,352.4,100.0,54,0,2
GUWAHATI,ASSAM,92,11,229.0,57.6,27,0,1
NONEY,MANIPUR,377,18,67.6,18.0,16,1,0
DIMAPUR,NAGALAND,88,3,106.1,26.5,5,1,0
AIZAWL,MIZORAM,1106,34,143.3,40.1,105,0,2
SHILLONG,MEGHALAYA,1057,13,150.1,44.8,18,1,0
ITANAGAR,ARUNACHAL PRADESH,295,36,233.7,71.3,97,0,2
AGARTALA,TRIPURA,15,9,321.2,90.0,9,0,2
LUNGLEI,MIZORAM,514,17,154.8,47.7,30,1,0
TAWANG,ARUNACHAL PRADESH,2635,43,127.2,40.0,125,0,2
GUWAHATI,ASSAM,35,3,139.3,40.5,4,1,0
HAFLONG,ASSAM,511,32,324.4,90.5,84,0,2
MANGAN,SIKKIM,1176,46,105.2,28.7,130,0,2
TAWANG,ARUNACHAL PRADESH,1415,22,145.8,44.8,34,1,1
JOWAI,MEGHALAYA,863,18,133.3,33.9,32,1,0
NONGPOH,MEGHALAYA,355,7,133.4,33.6,11,1,0
HAFLONG,ASSAM,281,16,152.5,44.2,18,1,0
HAFLONG,ASSAM,547,35,138.2,40.4,66,0,2
KOHIMA,NAGALAND,1407,31,402.5,100.0,73,0,2
AIZAWL,MIZORAM,1165,40,297.3,82.6,101,0,2
LUNGLEI,MIZORAM,448,18,93.5,19.1,26,1,0
SILCHAR,ASSAM,51,6,237.9,63.5,53,0,1
JOWAI,MEGHALAYA,987,14,102.2,26.8,34,1,0
DIMAPUR,NAGALAND,145,7,121.7,33.0,29,0,0
JOWAI,MEGHALAYA,1346,35,373.8,100.0,90,0,2
NONGPOH,MEGHALAYA,355,8,68.7,27.0,7,1,0
AGARTALA,TRIPURA,20,3,110.8,30.1,2,1,0
NONEY,MANIPUR,674,35,97.2,26.9,71,0,2
ITANAGAR,ARUNACHAL PRADESH,202,19,198.8,58.9,30,1,1
GANGTOK,SIKKIM,843,15,105.3,25.9,35,1,0
GANGTOK,SIKKIM,1140,17,162.5,39.0,45,1,1
SHILLONG,MEGHALAYA,904,15,105.8,23.7,23,1,0
TAWANG,ARUNACHAL PRADESH,1662,15,99.9,27.3,25,1,0
AGARTALA,TRIPURA,52,7,191.5,55.0,5,0,1
NONGPOH,MEGHALAYA,362,8,100.5,33.2,7,1,0
ITANAGAR,ARUNACHAL PRADESH,197,13,59.7,15.2,27,1,0
LUNGLEI,MIZORAM,758,39,408.8,100.0,76,0,2
NONEY,MANIPUR,674,37,258.2,75.3,75,0,2
GANGTOK,SIKKIM,1641,38,402.4,100.0,123,0,2
GUWAHATI,ASSAM,31,3,113.9,36.0,4,1,0
ITANAGAR,ARUNACHAL PRADESH,297,42,270.7,83.2,101,0,2
ITANAGAR,ARUNACHAL PRADESH,185,14,101.6,25.9,40,1,0
AIZAWL,MIZORAM,620,15,80.5,29.9,28,1,0
LUNGLEI,MIZORAM,488,17,126.4,36.1,23,1,0
AIZAWL,MIZORAM,600,18,216.4,65.2,25,1,1
JOWAI,MEGHALAYA,704,18,206.3,59.8,18,1,1
ITANAGAR,ARUNACHAL PRADESH,305,42,397.2,100.0,103,0,2
JOWAI,MEGHALAYA,1418,40,162.4,47.8,85,0,2
TAWANG,ARUNACHAL PRADESH,2649,40,220.5,64.7,103,0,2
SHILLONG,MEGHALAYA,1485,32,218.3,67.6,70,0,2
ITANAGAR,ARUNACHAL PRADESH,212,19,91.4,18.3,27,1,0
HAFLONG,ASSAM,540,26,222.1,67.1,67,0,2
SILCHAR,ASSAM,24,3,197.0,51.4,16,1,0
SILCHAR,ASSAM,33,9,116.5,40.1,57,0,1
LUNGLEI,MIZORAM,539,16,208.9,63.6,23,1,1
AGARTALA,TRIPURA,20,3,122.6,30.2,2,1,0
NONGPOH,MEGHALAYA,488,18,309.3,81.0,38,0,2
GANGTOK,SIKKIM,1037,15,73.3,14.6,38,1,0
KOHIMA,NAGALAND,1404,34,160.1,48.5,84,0,2
KOHIMA,NAGALAND,932,15,104.7,24.9,20,1,0
SHILLONG,MEGHALAYA,879,12,201.1,59.1,22,1,1
LUNGLEI,MIZORAM,719,37,155.1,50.4,87,0,2
ITANAGAR,ARUNACHAL PRADESH,338,43,221.4,62.3,106,0,2
ITANAGAR,ARUNACHAL PRADESH,311,44,282.6,83.1,119,0,2
TAWANG,ARUNACHAL PRADESH,1681,18,60.2,22.0,42,1,0
TAWANG,ARUNACHAL PRADESH,2693,48,135.9,43.4,104,0,2
AGARTALA,TRIPURA,1,8,110.9,31.0,13,0,0
SILCHAR,ASSAM,20,3,140.6,41.8,15,1,0
LUNGLEI,MIZORAM,732,36,333.6,93.9,68,0,2
SILCHAR,ASSAM,20,3,208.2,50.9,19,1,0
ITANAGAR,ARUNACHAL PRADESH,316,40,341.5,99.1,100,0,2
MANGAN,SIKKIM,897,19,203.2,54.5,44,1,1
JOWAI,MEGHALAYA,730,19,62.9,25.1,24,1,0
GUWAHATI,ASSAM,53,8,324.5,88.9,23,0,2
GANGTOK,SIKKIM,1641,45,132.7,31.9,116,0,2
SHILLONG,MEGHALAYA,1538,33,398.3,100.0,89,0,2
NONEY,MANIPUR,608,31,91.4,27.0,89,0,2
SILCHAR,ASSAM,0,6,159.7,39.8,52,0,1
SILCHAR,ASSAM,59,4,357.4,100.0,45,0,2
KOHIMA,NAGALAND,807,17,133.8,35.8,32,1,0
AIZAWL,MIZORAM,1163,43,389.9,100.0,105,0,2
MANGAN,SIKKIM,614,18,108.6,30.6,39,1,0
MANGAN,SIKKIM,644,19,125.2,40.4,42,1,0
LUNGLEI,MIZORAM,741,32,220.3,59.9,85,0,2
TAWANG,ARUNACHAL PRADESH,2669,43,149.1,43.8,108,0,2
AGARTALA,TRIPURA,20,3,88.3,27.3,2,1,0
SILCHAR,ASSAM,19,9,308.3,81.1,61,0,2
IMPHAL,MANIPUR,452,9,74.2,24.5,10,1,0
ITANAGAR,ARUNACHAL PRADESH,357,37,391.1,100.0,107,0,2
LUNGLEI,MIZORAM,445,17,104.7,35.2,20,1,0
AGARTALA,TRIPURA,35,4,206.0,55.8,5,0,1
NONEY,MANIPUR,602,34,397.8,100.0,87,0,2
MANGAN,SIKKIM,645,18,190.0,52.8,33,1,1
KOHIMA,NAGALAND,997,15,173.1,47.5,28,1,1
DIMAPUR,NAGALAND,122,12,142.6,45.8,30,0,1
SILCHAR,ASSAM,4,10,339.9,93.0,39,0,2
NONEY,MANIPUR,619,30,251.9,67.9,76,0,2
ITANAGAR,ARUNACHAL PRADESH,161,17,43.0,15.5,29,1,0
LUNGLEI,MIZORAM,746,42,354.1,100.0,81,0,2
SHILLONG,MEGHALAYA,1552,26,145.3,40.8,72,0,2
DIMAPUR,NAGALAND,101,3,122.6,29.9,9,1,0
NONEY,MANIPUR,429,17,194.5,58.2,26,1,1
HAFLONG,ASSAM,304,13,41.7,10.0,15,1,0
ITANAGAR,ARUNACHAL PRADESH,211,15,215.3,66.1,41,1,1
SILCHAR,ASSAM,22,9,172.2,54.6,53,0,1
AIZAWL,MIZORAM,1114,39,406.9,100.0,82,0,2
GANGTOK,SIKKIM,1648,40,161.8,50.3,123,0,2
GANGTOK,SIKKIM,983,20,164.1,38.8,41,1,1
DIMAPUR,NAGALAND,117,10,365.1,98.9,22,0,2
GANGTOK,SIKKIM,837,16,128.3,33.3,45,1,0
GANGTOK,SIKKIM,901,19,179.0,46.4,31,1,1
NONEY,MANIPUR,610,34,209.2,62.7,74,0,2
JOWAI,MEGHALAYA,799,12,95.5,24.3,17,1,0
AIZAWL,MIZORAM,1108,35,226.5,63.8,87,0,2
TAWANG,ARUNACHAL PRADESH,1398,16,147.4,45.5,34,1,1
GANGTOK,SIKKIM,1647,44,344.9,99.4,117,0,2
NONEY,MANIPUR,648,32,171.4,43.9,74,0,2
JOWAI,MEGHALAYA,1361,37,223.2,61.7,86,0,2
HAFLONG,ASSAM,288,11,146.9,35.9,23,1,0
SHILLONG,MEGHALAYA,1523,24,193.0,55.5,77,0,2
KOHIMA,NAGALAND,842,17,215.4,54.0,30,1,1
KOHIMA,NAGALAND,1465,35,408.0,100.0,77,0,2
LUNGLEI,MIZORAM,535,18,90.5,29.7,20,1,0
DIMAPUR,NAGALAND,177,7,419.1,100.0,33,0,2
GUWAHATI,ASSAM,40,3,189.6,45.8,4,1,0
MANGAN,SIKKIM,641,18,67.7,17.6,30,1,0
GANGTOK,SIKKIM,1667,47,278.0,77.8,120,0,2
MANGAN,SIKKIM,1206,49,297.0,75.9,129,0,2
NONEY,MANIPUR,346,16,156.1,45.7,25,1,0
KOHIMA,NAGALAND,760,12,174.4,49.4,20,1,0
NONEY,MANIPUR,379,15,164.3,40.1,26,1,0
GUWAHATI,ASSAM,28,3,60.9,24.0,4,1,0
JOWAI,MEGHALAYA,797,15,126.9,34.9,21,1,0
AGARTALA,TRIPURA,20,3,60.7,22.4,2,1,0
SHILLONG,MEGHALAYA,1516,32,267.6,71.6,70,0,2
MANGAN,SIKKIM,669,19,155.3,42.1,28,1,1
GUWAHATI,ASSAM,72,10,212.2,62.2,15,0,1
IMPHAL,MANIPUR,540,9,58.3,22.1,8,1,0
NONGPOH,MEGHALAYA,282,7,195.3,54.7,7,1,0
KOHIMA,NAGALAND,942,15,192.2,55.3,22,1,1
LUNGLEI,MIZORAM,699,37,161.1,38.6,71,0,2
DIMAPUR,NAGALAND,170,10,282.8,79.8,28,0,2
MANGAN,SIKKIM,1222,51,315.8,90.0,127,0,2
NONGPOH,MEGHALAYA,507,18,143.6,45.4,24,0,1
SILCHAR,ASSAM,25,3,109.1,31.3,11,1,0
ITANAGAR,ARUNACHAL PRADESH,214,16,128.0,28.9,38,1,0
GUWAHATI,ASSAM,52,4,156.4,40.1,10,0,0
AGARTALA,TRIPURA,20,3,179.5,55.0,2,1,0
DIMAPUR,NAGALAND,161,12,416.5,100.0,21,0,2
NONEY,MANIPUR,459,12,195.2,47.6,20,1,0
SHILLONG,MEGHALAYA,1511,33,199.2,58.7,87,0,2
MANGAN,SIKKIM,1238,43,150.3,37.1,135,0,2
SILCHAR,ASSAM,22,3,216.2,56.7,11,1,0
AIZAWL,MIZORAM,1109,40,417.4,100.0,83,0,2
JOWAI,MEGHALAYA,1371,33,189.5,48.6,100,0,2
GANGTOK,SIKKIM,883,20,107.5,23.1,37,1,0
HAFLONG,ASSAM,321,12,106.4,36.8,27,1,0
KOHIMA,NAGALAND,1415,37,305.8,82.7,92,0,2
HAFLONG,ASSAM,283,13,88.3,29.8,17,1,0
KOHIMA,NAGALAND,1476,37,196.9,57.6,97,0,2
SILCHAR,ASSAM,7,10,364.5,93.5,63,0,2
NONGPOH,MEGHALAYA,297,9,219.2,67.4,8,1,0
LUNGLEI,MIZORAM,717,33,202.5,49.6,88,0,2
NONGPOH,MEGHALAYA,495,24,326.8,94.9,29,0,2
MANGAN,SIKKIM,1172,41,242.1,61.4,116,0,2
NONEY,MANIPUR,321,16,217.9,59.3,29,1,1
JOWAI,MEGHALAYA,714,14,58.4,13.2,30,1,0
LUNGLEI,MIZORAM,730,34,417.6,100.0,88,0,2
TAWANG,ARUNACHAL PRADESH,2698,50,229.6,67.3,105,0,2
JOWAI,MEGHALAYA,902,15,201.4,50.2,21,1,1
SHILLONG,MEGHALAYA,896,12,84.6,25.8,26,1,0
NONEY,MANIPUR,444,16,158.5,40.9,29,1,0
TAWANG,ARUNACHAL PRADESH,2670,44,98.6,33.8,120,0,2
NONEY,MANIPUR,381,13,52.8,20.9,26,1,0
GUWAHATI,ASSAM,40,3,142.3,37.4,4,1,0
NONGPOH,MEGHALAYA,358,9,52.2,10.7,6,1,0
SILCHAR,ASSAM,45,8,293.7,81.6,47,0,2
MANGAN,SIKKIM,810,16,150.9,38.4,36,1,0
LUNGLEI,MIZORAM,747,35,132.8,34.1,93,0,2
HAFLONG,ASSAM,345,14,50.4,10.0,26,1,0
MANGAN,SIKKIM,1218,50,98.7,30.1,129,0,2
NONGPOH,MEGHALAYA,446,16,83.9,23.2,42,0,1
DIMAPUR,NAGALAND,78,3,88.4,30.7,8,1,0
GUWAHATI,ASSAM,38,3,168.2,47.9,2,1,0
HAFLONG,ASSAM,314,12,142.0,37.3,21,1,0
AIZAWL,MIZORAM,1165,44,119.2,37.0,105,0,2
GUWAHATI,ASSAM,16,4,240.4,64.9,5,0,1
JOWAI,MEGHALAYA,1344,39,390.7,100.0,103,0,2
MANGAN,SIKKIM,1201,44,391.4,100.0,123,0,2
